Match,TEAM,OPPONENT,STAGE,RESULT,PASSES COMPLETED,PASSES ATTEMPTED
2026-M072-COD-UZB,Uzbekistan,Congo DR,Group Stage,L,283,378
2026-M073-RSA-CAN,South Africa,Canada,Round of 32,L,486,575
2026-M073-RSA-CAN,Canada,South Africa,Round of 32,W,314,390
2026-M074-GER-PAR,Germany,Paraguay,Round of 32,L,752,834
2026-M074-GER-PAR,Paraguay,Germany,Round of 32,W,166,264
2026-M075-NED-MAR,Netherlands,Morocco,Round of 32,L,307,395
2026-M075-NED-MAR,Morocco,Netherlands,Round of 32,W,813,891
2026-M076-BRA-JPN,Brazil,Japan,Round of 32,W,652,715
2026-M076-BRA-JPN,Japan,Brazil,Round of 32,L,279,330
2026-M077-FRA-SWE,France,Sweden,Round of 32,W,498,548
2026-M077-FRA-SWE,Sweden,France,Round of 32,L,296,365
2026-M078-CIV-NOR,Côte d'Ivoire,Norway,Round of 32,L,353,406
2026-M078-CIV-NOR,Norway,Côte d'Ivoire,Round of 32,W,442,492
2026-M079-MEX-ECU,Mexico,Ecuador,Round of 32,W,259,317
2026-M079-MEX-ECU,Ecuador,Mexico,Round of 32,L,353,420
2026-M080-ENG-COD,England,Congo DR,Round of 32,W,482,523
2026-M080-ENG-COD,Congo DR,England,Round of 32,L,326,392
2026-M081-USA-BIH,USA,Bosnia and Herzegovina,Round of 32,W,362,425
2026-M081-USA-BIH,Bosnia and Herzegovina,USA,Round of 32,L,381,459
2026-M082-BEL-SEN,Belgium,Senegal,Round of 32,W,607,695
2026-M082-BEL-SEN,Senegal,Belgium,Round of 32,L,555,638
2026-M083-POR-CRO,Portugal,Croatia,Round of 32,W,538,588
2026-M083-POR-CRO,Croatia,Portugal,Round of 32,L,330,386
2026-M084-ESP-AUT,Spain,Austria,Round of 32,W,589,643
2026-M084-ESP-AUT,Austria,Spain,Round of 32,L,291,360
2026-M085-SUI-ALG,Switzerland,Algeria,Round of 32,W,371,451
2026-M085-SUI-ALG,Algeria,Switzerland,Round of 32,L,491,571
2026-M086-ARG-CPV,Argentina,Cabo Verde,Round of 32,W,800,862
2026-M086-ARG-CPV,Cabo Verde,Argentina,Round of 32,L,425,491
2026-M087-COL-GHA,Colombia,Ghana,Round of 32,W,540,598
2026-M087-COL-GHA,Ghana,Colombia,Round of 32,L,329,390
2026-M088-AUS-EGY,Australia,Egypt,Round of 32,L,428,520
2026-M088-AUS-EGY,Egypt,Australia,Round of 32,W,638,729
2026-M089-PAR-FRA,Paraguay,France,Round of 16,L,108,191
2026-M089-PAR-FRA,France,Paraguay,Round of 16,W,526,587
2026-M090-CAN-MAR,Canada,Morocco,Round of 16,L,282,368
